Wall time,Step,Value
1693232112.7925606,3,-2793.757080078125
1693232179.7792747,6,-2311.116943359375
1693232256.1203167,9,-2187.316650390625
1693232351.1021783,12,-2091.040771484375
1693232439.9782853,15,-3070.082763671875
1693232531.5419354,18,-2215.412353515625
1693232617.8265195,21,-2011.411865234375
1693232690.9102275,24,-1964.0150146484375
1693232776.784411,27,-2340.22705078125
1693232852.630965,30,-2136.6865234375
1693232941.56872,33,-2238.148193359375
1693233027.9448552,36,-2045.6429443359375
1693233103.561566,39,-2039.1517333984375
1693233190.3643217,42,-2041.5418701171875
1693233264.9390473,45,-2133.48193359375
1693233350.7609046,48,-1954.108154296875
1693233437.0630305,51,-1916.5865478515625
1693233511.004701,54,-2023.0968017578125
1693233598.0713108,57,-2015.054443359375
1693233671.8835442,60,-2043.2115478515625
1693233759.3902564,63,-1990.8583984375
1693233845.3606584,66,-2235.318115234375
1693233917.813413,69,-2009.243408203125
1693234007.6508253,72,-2040.127197265625
1693234092.4592433,75,-1963.256591796875
1693234178.6530197,78,-2062.7783203125
1693234272.3152263,81,-1998.68505859375
1693234346.6785097,84,-1950.4342041015625
1693234438.2959478,87,-1965.1845703125
1693234519.8024476,90,-1912.6280517578125
1693234617.821218,93,-2102.38916015625
1693234776.6336823,96,-2153.799560546875
1693234914.8580503,99,-1990.41943359375
1693234984.7264578,102,-1963.94384765625
1693235094.4491897,105,-1941.641357421875
